Date,Open,High,Low,Close
2019-09-23,12045.96,12237.19,12016.45,12135.95
2019-09-24,12153.61,12191.8,12070.8,12121.22
2019-09-25,12116.5,12116.5,11943.43,11968.16
2019-09-26,12001.19,12142.58,11994.76,12108.64
2019-09-27,12114.42,12131.46,12033.74,12043.75
2019-09-30,12054.11,12054.11,11902.83,11986.23
2019-10-01,12037.78,12070.76,11750.46,11868.35
2019-10-03,11824.93,11880.92,11763.08,11820.19
2019-10-04,11905.48,11905.48,11661.23,11672.68
2019-10-07,11719.78,11732.77,11612.38,11626.46
2019-10-09,11649.74,11827.44,11588.66,11818.99
2019-10-10,11810.41,11810.41,11704.91,11729.5
2019-10-11,11763.19,11864.82,11684.38,11808.38
2019-10-14,11836.61,11931,11798.21,11840.02
2019-10-15,11866.79,11972.72,11846.69,11933.87
2019-10-16,11976.44,11993.17,11921.23,11974.57
2019-10-17,11990.35,12128.98,11961.04,12114.14
2019-10-18,12124.03,12217.18,12084.43,12194.67
2019-10-22,12182.18,12247.69,12097.47,12111
2019-10-23,12143.37,12176.49,12077.72,12133.61
2019-10-24,12179.15,12209.48,12055.85,12109.37
2019-10-25,12164.08,12174.85,12016.79,12112.85
2019-10-27,12215.95,12217.55,12141.89,12163.95
2019-10-29,12179.84,12365.11,12163.48,12341.21
2019-10-30,12410.3,12440.69,12337.89,12404.64
2019-10-31,12452.55,12513.34,12414.91,12439.27
2019-11-01,12453.02,12483.23,12404.29,12454.22
2019-11-04,12499.3,12554.73,12466.42,12499.53
2019-11-05,12540.86,12547.05,12417.57,12473.89
2019-11-06,12481.26,12568.81,12407.54,12525.52
2019-11-07,12578.85,12589.83,12509.25,12579.94
2019-11-08,12575.76,12606.06,12454.36,12471.34
2019-11-11,12472.25,12498.67,12418.01,12478.01
2019-11-13,12482.03,12511.5,12381.11,12398.52
2019-11-14,12417.49,12457.09,12363.59,12434.85
2019-11-15,12472.51,12536.88,12437.62,12451.62
2019-11-18,12475.73,12505.82,12423.18,12439.52
2019-11-19,12487.24,12512.96,12437.3,12490.34
2019-11-20,12567.45,12592.57,12517.56,12551.66
2019-11-21,12581.77,12586.02,12512.83,12524.75
2019-11-22,12546.42,12546.42,12438.51,12469.68
2019-11-25,12499.25,12647.37,12484.11,12634.91
2019-11-26,12675.02,12702.21,12569.27,12599.36
2019-11-27,12643.37,12682.76,12619.58,12668.99
2019-11-28,12713.05,12723.74,12666.12,12714.99
2019-11-29,12722.03,12722.61,12573.14,12605.82
2019-12-02,12685.24,12690.17,12575.18,12602.69
2019-12-03,12619.73,12626.9,12510.96,12546.63
2019-12-04,12528.31,12608.37,12488.16,12598.25
2019-12-05,12642.02,12645.82,12551.31,12567.75
2019-12-06,12619.25,12619.25,12430.56,12461.22
2019-12-09,12484.87,12524.46,12428.7,12476.96
2019-12-10,12506.95,12506.95,12382.41,12392.67
2019-12-11,12408.75,12463.35,12369.21,12448.02
2019-12-12,12496.89,12548.93,12475.76,12511.72
2019-12-13,12564.34,12653,12559.1,12640.06
2019-12-16,12685.63,12690.39,12601.13,12606.57
2019-12-17,12643.66,12743.75,12628.64,12728.58
2019-12-18,12769.16,12801.43,12727.01,12785.81
2019-12-19,12791.59,12830.33,12752.46,12817.95
2019-12-20,12837.93,12857.68,12816.79,12837.96
2019-12-23,12805.99,12853.7,12779.09,12829.27
2019-12-24,12844.21,12851.58,12765.68,12776.52
2019-12-26,12801.94,12801.94,12683.28,12690.95
2019-12-27,12730.47,12827.23,12721.64,12815.5
2019-12-30,12848.93,12859.84,12783.27,12823.22
2019-12-31,12837,12837,12716.24,12736.31
2020-01-01,12765.26,12792.16,12733.59,12752.13
